		Joseph				Timothee	langpair			Ona				work_type	
		Scatter plot of teacher parameters vs student parameters													
	What do we want to say	Distilation compression, most works actually use it to improve performance								People use different datasets, and is difficult to compare and withdraw conclusions. Histogram	Everyone uses BLEu, no statistical analysis, no neural metric. Histogram? Quantification?	Seq-kD preferred over word kd, very little works using both. As stats in discussing table 1	nothing	nothing	
URL	Study	Compression ratio	Teacher params	Student params	Languages Count			English centric?	Same architecture?	Dataset	Metric	KD type	Remarks	Section	Person
https://arxiv.org/pdf/1902.10461	\citet{tan2019multilingual}	1	hidden size: 256/512 ff: 1024/2048 layers: 2/6	hidden size: 256/512 ff: 1024/2048 layers: 2/6	63	en, Ar Cs De He Nl Pt, Ro Ru Th Tr Vi Zh,Cs De Fi Lv Ro Ru, Ar Bg Cs Da De El Es Et Fa Fi Frca, Fr Gl He Hi Hr Hu Hy Id It Ja Ka, Ko Ku Lt Mk My Nb Nl Pl Ptbr Pt Ro, Ru Sk Sl Sq Sr Sv Th Tr Uk Vi Zh	ar-en bg-en cs-en da-en de-en el-en en-ar en-bg en-cs en-da en-de en-el en-es en-et en-fa en-fi en-fr en-gl en-he en-hi en-hr en-hu en-hy en-id en-it en-ja en-ka en-ko en-ku en-lt en-lv en-mk en-my en-nb en-nl en-pl en-pt en-ro en-ru en-sk en-sl en-sq en-sr en-sv en-th en-tr en-uk en-vi en-zh es-en et-en fa-en fi-en fr-en gl-en he-en hi-en hr-en hu-en hy-en id-en it-en ja-en ka-en ko-en ku-en lt-en lv-en mk-en my-en nb-en nl-en pl-en pt-en ro-en ru-en sk-en sl-en sq-en sr-en sv-en th-en tr-en uk-en vi-en zh-en	y	y	IWSLT	BLEU	Word-KD	First work on Multilingual MT. Introduces Selective KD, Top-K, Back-distillation. Relies on powerful bilingual teachers.\\ % 12 6 44	MMT	
https://dl.acm.org/doi/abs/10.1145/3546067	\citet{doo-dee-2023-target}	1	hidden size: 1024 heads: 4 params: 53.7M layers: 6	hidden size: 1024 heads: 4 params: 53.7M layers: 6	7	de, fr, en, ko, ja, vi zh	de-en en-de en-fr fr-en en-ko en-ko ja-en en-ja vi-en en-vi zh-en en-zh	y	y	TED Talks	BLEU	Word-KD	Introduce Target-Oriented KD for Family-based KD. Multilingual teachers improve knowledge transfer.\\	MMT	
https://arxiv.org/pdf/2210.11621	\citet{mohammadshahi2022small100}\textsuperscript{*}	3.64	1.2B	330M	100	af, , lg, , lt, , sn, , gl,  am, , ka, , luo, , sd, , gd,  ar, , de, , lb, , sk, , ht,  hy, , el, , mk, , sl, , su,  as, , gu, , ms, , so, , ln,  ast, , ha, , ml, , ku, , ilo,  az, , he, , mt, , es, , mg,  be, , hi, , mr, , sw, , tn,  bn, , hu, , mi, , sv, , br,  bs, , is, , mn, , tg, , ns,  bg, , ig, , ne, , ta, , si,  my, , id, , nso, , te, , yi,  ca, , ga, , no, , th, , fy,  ceb, , it, , ny, , tr, , sq,  zh, , ja, , oc, , uk, , ss,  hr, , jv, , or, , umb, , fr,  cs, , kea, , om, , ur, , ff,  da, , kam, , ps, , uz, , lo,  nl, , kn, , fa, , vi, , lv,  en, , kk, , pl, , cy, , ru,  et, , km, , pt, , wo, , sr,  tl, , ko, , pa, , xh, , zu,  fi, , ky, , ro, , yo, , ba, 		n	y	CCAligned, CCMatrix, Flores+, Tatoeba, Tico-19	spBLEU	Word-KD	Word-KD with uniform sub-sampling and deep encoder/shallow decoder architecture.\\	MMT	
https://arxiv.org/pdf/2205.03983	\citet{bapna2022building}	18.18, 7.06	6B	330M	31	en, ff, kri, doi, bm, ay, gom, bho, kl, ee, qu, gn, ak, ts, mai, ln, nso, lg, ilo, ti, om, sa, dv, lus, as, ckb	ak-en as-en ay-en bho-en bm-en ckb-en doi-en dv-en ee-en en-ak en-as en-ay en-bho en-bm en-ckb en-doi en-dv en-ee en-ff en-gn en-gom en-ilo en-kl en-kri en-lg en-ln en-lus en-mai en-nso en-om en-qu en-sa en-ti en-ts ff-en gn-en gom-en ilo-en kl-en kri-en lg-en ln-en lus-en mai-en nso-en om-en qu-en sa-en ti-en ts-en	y	y	Unpublished	ChrF, BLEU	Seq-KD	Seq-KD with deep/shallow encoder/LSTM decoder. Two students: deep encoder performs better. Not reproducible. \\	MMT	
https://arxiv.org/pdf/2207.04672	\citet{costa2022nllb}	2.6, 87.8, 41.54	54B	615M	25, 202	ace_Arab, ace_Latn, acm_Arab, acq_Arab, aeb_Arab, afr_Latn, apc_Arab, aka_Latn, amh_Ethi, apc_Arab, arb_Arab, arb_Latn, ars_Arab, ary_Arab, arz_Arab, asm_Beng, ast_Latn, awa_Deva, ayr_Latn, azb_Arab, azj_Latn, bak_Cyrl, bam_Latn, ban_Latn, bel_Cyrl, bem_Latn, ben_Beng, bho_Deva, bjn_Arab, bjn_Latn, bod_Tibt, bos_Latn, bug_Latn, bul_Cyrl, cat_Latn, ceb_Latn, ces_Latn, cjk_Latn, ckb_Arab, crh_Latn, cym_Latn, dan_Latn, deu_Latn, dik_Latn, dyu_Latn, dzo_Tibt, ell_Grek, eng_Latn, epo_Latn, est_Latn, eus_Latn, ewe_Latn, fao_Latn, fij_Latn, fin_Latn, fon_Latn, fra_Latn, fur_Latn, fuv_Latn, gla_Latn, gle_Latn, glg_Latn, grn_Latn, guj_Gujr, hat_Latn, hau_Latn, heb_Hebr, hin_Deva, hne_Deva, hrv_Latn, hun_Latn, hye_Armn, ibo_Latn, ilo_Latn, ind_Latn, isl_Latn, ita_Latn, jav_Latn, jpn_Jpan, kab_Latn, kac_Latn, kam_Latn, kan_Knda, kas_Arab, kas_Deva, kat_Geor, knc_Arab, knc_Latn, kaz_Cyrl, kbp_Latn, kea_Latn, khm_Khmr, kik_Latn, kin_Latn, kir_Cyrl, kmb_Latn, kmr_Latn, kon_Latn, kor_Hang, lao_Laoo, lij_Latn, lim_Latn, lin_Latn, lit_Latn, lmo_Latn, ltg_Latn, ltz_Latn, lua_Latn, lug_Latn, luo_Latn, lus_Latn, lvs_Latn, mag_Deva, mai_Deva, mal_Mlym, mar_Deva, min_Arab, min_Latn, mkd_Cyrl, plt_Latn, mlt_Latn, mni_Beng, khk_Cyrl, mos_Latn, mri_Latn, mya_Mymr, nld_Latn, nno_Latn, nob_Latn, npi_Deva, nso_Latn, nus_Latn, nya_Latn, oci_Latn, gaz_Latn, ory_Orya, pag_Latn, pan_Guru, pap_Latn, pes_Arab, pol_Latn, por_Latn, prs_Arab, pbt_Arab, quy_Latn, ron_Latn, run_Latn, rus_Cyrl, sag_Latn, san_Deva, sat_Olck, scn_Latn, shn_Mymr, sin_Sinh, slk_Latn, slv_Latn, smo_Latn, sna_Latn, snd_Arab, som_Latn, sot_Latn, spa_Latn, als_Latn, srd_Latn, srp_Cyrl, ssw_Latn, sun_Latn, swe_Latn, swh_Latn, szl_Latn, tam_Taml, tat_Cyrl, tel_Telu, tgk_Cyrl, tgl_Latn, tha_Thai, tir_Ethi, taq_Latn, taq_Tfng, tpi_Latn, tsn_Latn, tso_Latn, tuk_Latn, tum_Latn, tur_Latn, twi_Latn, tzm_Tfng, uig_Arab, ukr_Cyrl, umb_Latn, urd_Arab, uzn_Latn, vec_Latn, vie_Latn, war_Latn, wol_Latn, xho_Latn, ydd_Hebr, yor_Latn, yue_Hant, zho_Hans, zho_Hant, zsm_Latn, zul_Latn	ace-en acm-en acq-en aeb-en afr-en ajp-en aka-en als-en amh-en apc-en arb-en ars-en ary-en arz-en asm-en ast-en awa-en ayr-en azb-en azj-en bak-en bam-en ban-en bel-en bem-en ben-en bho-en bjn-en bod-en bos-en bug-en bul-en cat-en ceb-en ces-en cjk-en ckb-en crh-en cym-en dan-en deu-en dik-en dyu-en dzo-en ell-en en-ace en-acm en-acq en-aeb en-afr en-ajp en-aka en-als en-amh en-apc en-arb en-ars en-ary en-arz en-asm en-ast en-awa en-ayr en-azb en-azj en-bak en-bam en-ban en-bel en-bem en-ben en-bho en-bjn en-bod en-bos en-bug en-bul en-cat en-ceb en-ces en-cjk en-ckb en-crh en-cym en-dan en-deu en-dik en-dyu en-dzo en-ell en-epo en-est en-eus en-ewe en-fao en-fij en-fin en-fon en-fra en-fur en-fuv en-gaz en-gla en-gle en-glg en-grn en-guj en-hat en-hau en-heb en-hin en-hne en-hrv en-hun en-hye en-ibo en-ilo en-ind en-isl en-ita en-jav en-jpn en-kab en-kac en-kam en-kan en-kas en-kat en-kaz en-kbp en-kea en-khk en-khm en-kik en-kin en-kir en-kmb en-kmr en-knc en-kon en-kor en-lao en-lij en-lim en-lin en-lit en-lmo en-ltg en-ltz en-lua en-lug en-luo en-lus en-lvs en-mag en-mai en-mal en-mar en-min en-mkd en-mlt en-mni en-mos en-mri en-mya en-nld en-nno en-nob en-npi en-nso en-nus en-nya en-oci en-ory en-pag en-pan en-pap en-pbt en-pes en-plt en-pol en-por en-prs en-quy en-ron en-run en-rus en-sag en-san en-sat en-scn en-shn en-sin en-slk en-slv en-smo en-sna en-snd en-som en-sot en-spa en-srd en-srp en-ssw en-sun en-swe en-swh en-szl en-tam en-taq en-tat en-tel en-tgk en-tgl en-tha en-tir en-tpi en-tsn en-tso en-tuk en-tum en-tur en-twi en-tzm en-uig en-ukr en-umb en-urd en-uzn en-vec en-vie en-war en-wol en-xho en-ydd en-yor en-yue en-zho en-zsm en-zul epo-en est-en eus-en ewe-en fao-en fij-en fin-en fon-en fra-en fur-en fuv-en gaz-en gla-en gle-en glg-en grn-en guj-en hat-en hau-en heb-en hin-en hne-en hrv-en hun-en hye-en ibo-en ilo-en ind-en isl-en ita-en jav-en jpn-en kab-en kac-en kam-en kan-en kas-en kat-en kaz-en kbp-en kea-en khk-en khm-en kik-en kin-en kir-en kmb-en kmr-en knc-en kon-en kor-en lao-en lij-en lim-en lin-en lit-en lmo-en ltg-en ltz-en lua-en lug-en luo-en lus-en lvs-en mag-en mai-en mal-en mar-en min-en mkd-en mlt-en mni-en mos-en mri-en mya-en nld-en nno-en nob-en npi-en nso-en nus-en nya-en oci-en ory-en pag-en pan-en pap-en pbt-en pes-en plt-en pol-en por-en prs-en quy-en ron-en run-en rus-en sag-en san-en sat-en scn-en shn-en sin-en slk-en slv-en smo-en sna-en snd-en som-en sot-en spa-en srd-en srp-en ssw-en sun-en swe-en swh-en szl-en tam-en taq-en tat-en tel-en tgk-en tgl-en tha-en tir-en tpi-en tsn-en tso-en tuk-en tum-en tur-en twi-en tzm-en uig-en ukr-en umb-en urd-en uzn-en vec-en vie-en war-en wol-en xho-en ydd-en yor-en yue-en zho-en zsm-en zul-en	n	y	Wikipedia	ChrF++	Word-KD, Seq-KD	Seq-KD outperfroms Word-KD, but is computationally expensive.\\	MMT	
https://arxiv.org/pdf/2305.16307	\citet{galaindictrans2}	5.21	1.1B	211M	23	en, asm_Beng, ben_Beng, brx_Deva, doi_Deva, gom_Deva, guj_Gujr, hin_Deva, kan_Knda, kas_Arab, kas_Deva, mai_Deva, mal_Mlym, mar_Deva, mni_Beng, mni_Mtei, npi_Deva, ory_Orya, pan_Guru, san_Deva, sat_Olck, snd_Arab, snd_Deva, tam_Taml, tel_Telu, urd_Arab	asm-en ben-en brx-en doi-en en-asm en-ben en-brx en-doi en-gom en-guj en-hin en-kan en-kas en-mai en-mal en-mar en-mni en-npi en-ory en-pan en-san en-sat en-snd en-tam en-tel en-urd gom-en guj-en hin-en kan-en kas-en mai-en mal-en mar-en mni-en npi-en ory-en pan-en san-en sat-en snd-en tam-en tel-en urd-en	y	y	BPCC	chrF++	Word-KD	Word-KD, post-distillation fine-tuning, deep and thin transformer\\	MMT	
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9257421	\citet{zhang2020improving}\textsuperscript{*}	-	fasttext embeddings embedding size: 512 context window: 5	tf-base	3	uy, zh, mo	uig-zh uig-mon zh-uig zh-mon mon-zh mon-uig	n	n	CWMT2017,CWMT2018,CWMT2019	BLEU	Word-KD	Teacher-free KD based on FastText Word Embeddings trained on target monolingual data.\\	LRMT	
